location,datetime,sensorType,value
Friman Metsola collective,2019-01-29T08:29:11.901Z,temperature,5.2
Friman Metsola collective,2019-01-29T03:18:39.054Z,temperature,3.9
Friman Metsola collective,2019-01-29T15:22:35.083Z,temperature,5.1
Friman Metsola collective,2019-01-29T18:09:12.820Z,temperature,4.3
Friman Metsola collective,2019-01-30T18:09:12.820Z,pH,6.32
Friman Metsola collective,2019-01-30T18:09:12.820Z,rainFall,3.6
Friman Metsola collective,2019-01-30T07:04:21.418Z,temperature,1.2
Friman Metsola collective,2019-01-30T00:52:42.056Z,temperature,-1.9
Friman Metsola collective,2019-01-30T07:14:04.779Z,temperature,3.1
Friman Metsola collective,2019-01-30T08:48:45.846Z,temperature,3.0
Friman Metsola collective,2019-01-30T14:29:46.017Z,temperature,2.0
Friman Metsola collective,2019-01-30T07:29:50.051Z,temperature,2.1
Friman Metsola collective,2019-01-30T15:27:29.982Z,temperature,0.9
Friman Metsola collective,2019-01-30T15:57:32.930Z,temperature,2.7
Friman Metsola collective,2019-01-30T14:03:02.396Z,temperature,1.7
Friman Metsola collective,2019-01-31T14:03:02.396Z,pH,6.33
Friman Metsola collective,2019-01-31T14:03:02.396Z,rainFall,0
Friman Metsola collective,2019-01-31T03:42:13.244Z,temperature,-2.8
Friman Metsola collective,2019-01-31T21:29:49.046Z,temperature,-4.7
Friman Metsola collective,2019-01-31T04:12:35.912Z,temperature,-3.2
Friman Metsola collective,2019-01-31T04:20:57.395Z,temperature,-1.8
Friman Metsola collective,2019-01-31T06:42:28.368Z,temperature,-2.2
Friman Metsola collective,2019-02-01T06:42:28.368Z,pH,5.98
Friman Metsola collective,2019-02-01T06:42:28.368Z,rainFall,1.7
Friman Metsola collective,2019-02-01T04:47:21.045Z,temperature,-0.8
Friman Metsola collective,2019-02-01T18:13:13.810Z,temperature,-1.5
Friman Metsola collective,2019-02-01T15:21:40.813Z,temperature,-0.4
Friman Metsola collective,2019-02-01T03:03:49.401Z,temperature,-1.0
Friman Metsola collective,2019-02-01T05:34:32.114Z,temperature,-0.0
Friman Metsola collective,2019-02-01T17:15:52.824Z,temperature,0.6
Friman Metsola collective,2019-02-02T17:15:52.824Z,pH,6.11
Friman Metsola collective,2019-02-02T17:15:52.824Z,rainFall,2.9
Friman Metsola collective,2019-02-02T19:38:23.017Z,temperature,-4.6
Friman Metsola collective,2019-02-02T05:53:03.822Z,temperature,-1.9
Friman Metsola collective,2019-02-02T12:54:57.937Z,temperature,-1.8
Friman Metsola collective,2019-02-02T09:49:39.200Z,temperature,-2.0
Friman Metsola collective,2019-02-02T15:03:37.632Z,temperature,-3.0
Friman Metsola collective,2019-02-02T07:16:38.453Z,temperature,-1.1
Friman Metsola collective,2019-02-02T15:12:38.285Z,temperature,-1.7
Friman Metsola collective,2019-02-02T11:25:49.645Z,temperature,-1.3
Friman Metsola collective,2019-02-03T11:25:49.645Z,pH,5.98
Friman Metsola collective,2019-02-03T11:25:49.645Z,rainFall,0
Friman Metsola collective,2019-02-02T22:11:12.595Z,temperature,-6.4
Friman Metsola collective,2019-02-03T16:33:30.864Z,temperature,-1.1
Friman Metsola collective,2019-02-03T21:44:24.430Z,temperature,-4.1
Friman Metsola collective,2019-02-03T10:57:39.713Z,temperature,0.2
Friman Metsola collective,2019-02-03T16:34:11.423Z,temperature,-1.8
Friman Metsola collective,2019-02-03T02:44:38.858Z,temperature,-3.2
Friman Metsola collective,2019-02-03T10:57:34.237Z,temperature,-0.7
Friman Metsola collective,2019-02-03T01:49:07.273Z,temperature,-3.5
Friman Metsola collective,2019-02-03T06:50:37.356Z,temperature,-1.4
Friman Metsola collective,2019-02-04T06:50:37.356Z,pH,6.47
Friman Metsola collective,2019-02-04T06:50:37.356Z,rainFall,0
Friman Metsola collective,2019-02-03T23:49:07.230Z,temperature,2.6
Friman Metsola collective,2019-02-04T23:49:07.230Z,pH,6.19
Friman Metsola collective,2019-02-04T23:49:07.230Z,rainFall,0
Friman Metsola collective,2019-02-05T11:00:53.580Z,temperature,7.5
Friman Metsola collective,2019-02-05T03:56:52.279Z,temperature,6.3
Friman Metsola collective,2019-02-05T21:35:36.776Z,temperature,3.7
Friman Metsola collective,2019-02-05T07:24:29.958Z,temperature,7.4
Friman Metsola collective,2019-02-05T15:56:30.279Z,temperature,7.7
Friman Metsola collective,2019-02-04T23:21:45.922Z,temperature,3.7
Friman Metsola collective,2019-02-05T20:18:04.751Z,temperature,5.5
Friman Metsola collective,2019-02-06T20:18:04.751Z,pH,6.03
Friman Metsola collective,2019-02-06T20:18:04.751Z,rainFall,0
Friman Metsola collective,2019-02-06T15:57:25.702Z,temperature,-1.4
Friman Metsola collective,2019-02-07T15:57:25.702Z,pH,5.97
Friman Metsola collective,2019-02-07T15:57:25.702Z,rainFall,1.6
Friman Metsola collective,2019-02-07T04:32:16.493Z,temperature,10.3
Friman Metsola collective,2019-02-07T19:31:10.082Z,temperature,9.2
Friman Metsola collective,2019-02-07T11:07:59.883Z,temperature,11.8
Friman Metsola collective,2019-02-07T01:13:59.275Z,temperature,9.2
Friman Metsola collective,2019-02-07T19:52:14.387Z,temperature,9.3
Friman Metsola collective,2019-02-07T11:55:29.475Z,temperature,12.4
Friman Metsola collective,2019-02-07T06:13:51.934Z,temperature,11.0
Friman Metsola collective,2019-02-07T14:56:47.083Z,temperature,11.8
Friman Metsola collective,2019-02-07T03:56:09.365Z,temperature,9.8
Friman Metsola collective,2019-02-07T08:11:12.382Z,temperature,12.4
Friman Metsola collective,2019-02-08T08:11:12.382Z,pH,6.53
Friman Metsola collective,2019-02-08T08:11:12.382Z,rainFall,0
Friman Metsola collective,2019-02-08T13:42:31.232Z,temperature,10.5
Friman Metsola collective,2019-02-08T15:32:36.777Z,temperature,10.1
Friman Metsola collective,2019-02-08T15:17:54.061Z,temperature,11.2
Friman Metsola collective,2019-02-08T13:52:23.600Z,temperature,11.1
Friman Metsola collective,2019-02-08T00:35:48.111Z,temperature,8.3
Friman Metsola collective,2019-02-07T22:30:11.253Z,temperature,6.1
Friman Metsola collective,2019-02-08T06:08:54.991Z,temperature,11.2
Friman Metsola collective,2019-02-08T17:13:48.892Z,temperature,8.9
Friman Metsola collective,2019-02-08T14:02:25.753Z,temperature,10.3
Friman Metsola collective,2019-02-09T14:02:25.753Z,pH,6.28
Friman Metsola collective,2019-02-09T14:02:25.753Z,rainFall,2.0
Friman Metsola collective,2019-02-08T22:04:50.093Z,temperature,-0.7
Friman Metsola collective,2019-02-08T22:04:35.558Z,temperature,0.1
Friman Metsola collective,2019-02-09T20:55:02.517Z,temperature,2.3
Friman Metsola collective,2019-02-09T06:32:30.968Z,temperature,4.5
Friman Metsola collective,2019-02-09T18:05:26.344Z,temperature,2.0
Friman Metsola collective,2019-02-09T05:15:01.991Z,temperature,3.8
Friman Metsola collective,2019-02-09T19:00:45.149Z,temperature,1.3
Friman Metsola collective,2019-02-09T03:24:16.906Z,temperature,1.7
Friman Metsola collective,2019-02-09T09:07:42.580Z,temperature,4.0
Friman Metsola collective,2019-02-09T03:47:32.887Z,temperature,3.5
Friman Metsola collective,2019-02-10T03:47:32.887Z,pH,5.98
Friman Metsola collective,2019-02-10T03:47:32.887Z,rainFall,0
Friman Metsola collective,2019-02-10T05:50:07.762Z,temperature,8.1
Friman Metsola collective,2019-02-10T12:14:56.889Z,temperature,7.9
Friman Metsola collective,2019-02-10T12:52:01.229Z,temperature,7.5
Friman Metsola collective,2019-02-10T15:32:01.229Z,temperature,7.2
Friman Metsola collective,2019-02-10T11:57:42.592Z,temperature,8.4
Friman Metsola collective,2019-02-10T13:31:53.343Z,temperature,8.0
Friman Metsola collective,2019-02-11T13:31:53.343Z,pH,6.12
Friman Metsola collective,2019-02-11T13:31:53.343Z,rainFall,0
Friman Metsola collective,2019-02-11T02:54:26.214Z,temperature,3.9
Friman Metsola collective,2019-02-10T23:35:18.731Z,temperature,3.3
Friman Metsola collective,2019-02-11T17:17:30.668Z,temperature,4.7
Friman Metsola collective,2019-02-11T01:43:16.723Z,temperature,3.6
Friman Metsola collective,2019-02-11T04:57:32.027Z,temperature,5.5
Friman Metsola collective,2019-02-11T03:51:03.449Z,temperature,4.6
Friman Metsola collective,2019-02-12T03:51:03.449Z,pH,5.70
Friman Metsola collective,2019-02-12T03:51:03.449Z,rainFall,1.6
Friman Metsola collective,2019-02-12T13:56:55.276Z,temperature,-0.6
Friman Metsola collective,2019-02-12T01:37:56.131Z,temperature,-2.7
Friman Metsola collective,2019-02-12T08:27:58.877Z,temperature,-0.4
Friman Metsola collective,2019-02-12T04:09:17.627Z,temperature,-2.3
Friman Metsola collective,2019-02-11T22:53:36.385Z,temperature,-4.5
Friman Metsola collective,2019-02-12T19:00:57.837Z,temperature,-3.7
Friman Metsola collective,2019-02-12T02:08:12.651Z,temperature,-2.7
Friman Metsola collective,2019-02-12T14:24:53.214Z,temperature,-0.9
Friman Metsola collective,2019-02-12T09:17:16.738Z,temperature,-1.1
Friman Metsola collective,2019-02-12T08:35:06.579Z,temperature,-0.2
Friman Metsola collective,2019-02-13T08:35:06.579Z,pH,6.48
Friman Metsola collective,2019-02-13T08:35:06.579Z,rainFall,1.2
Friman Metsola collective,2019-02-13T02:27:21.003Z,temperature,0.9
Friman Metsola collective,2019-02-13T00:50:24.179Z,temperature,-1.7
Friman Metsola collective,2019-02-12T22:05:43.212Z,temperature,-2.1
Friman Metsola collective,2019-02-13T04:07:26.096Z,temperature,0.4
Friman Metsola collective,2019-02-13T17:20:49.956Z,temperature,1.1
Friman Metsola collective,2019-02-13T15:16:50.105Z,temperature,1.5
Friman Metsola collective,2019-02-13T18:54:32.006Z,temperature,1.2
Friman Metsola collective,2019-02-13T20:22:32.557Z,temperature,-0.3
Friman Metsola collective,2019-02-13T16:17:38.588Z,temperature,0.7
Friman Metsola collective,2019-02-14T16:17:38.588Z,pH,6.41
Friman Metsola collective,2019-02-14T16:17:38.588Z,rainFall,1.5
Friman Metsola collective,2019-02-14T09:04:31.617Z,temperature,1.9
Friman Metsola collective,2019-02-14T20:10:49.268Z,temperature,-1.6
Friman Metsola collective,2019-02-14T19:42:53.529Z,temperature,-0.5
Friman Metsola collective,2019-02-14T21:11:34.991Z,temperature,-2.3
Friman Metsola collective,2019-02-14T18:31:42.138Z,temperature,-0.6
Friman Metsola collective,2019-02-14T04:44:28.602Z,temperature,-0.2
Friman Metsola collective,2019-02-14T12:02:50.697Z,temperature,1.2
Friman Metsola collective,2019-02-14T09:33:08.330Z,temperature,1.6
Friman Metsola collective,2019-02-15T09:33:08.330Z,pH,6.58
Friman Metsola collective,2019-02-15T09:33:08.330Z,rainFall,1.8
Friman Metsola collective,2019-02-15T06:57:03.773Z,temperature,14.0
Friman Metsola collective,2019-02-15T06:14:18.735Z,temperature,13.8
Friman Metsola collective,2019-02-15T02:24:07.873Z,temperature,12.5
Friman Metsola collective,2019-02-15T06:27:27.411Z,temperature,14.1
Friman Metsola collective,2019-02-15T16:57:45.824Z,temperature,12.5
Friman Metsola collective,2019-02-14T22:38:39.370Z,temperature,9.1
Friman Metsola collective,2019-02-15T08:03:41.039Z,temperature,14.4
Friman Metsola collective,2019-02-15T06:16:20.417Z,temperature,14.0
Friman Metsola collective,2019-02-16T06:16:20.417Z,pH,5.85
Friman Metsola collective,2019-02-16T06:16:20.417Z,rainFall,0
Friman Metsola collective,2019-02-16T19:06:21.718Z,temperature,1.0
Friman Metsola collective,2019-02-16T12:59:09.661Z,temperature,2.9
Friman Metsola collective,2019-02-16T00:18:18.359Z,temperature,-1.4
Friman Metsola collective,2019-02-16T09:57:49.573Z,temperature,2.8
Friman Metsola collective,2019-02-16T21:04:28.575Z,temperature,-0.4
Friman Metsola collective,2019-02-16T12:14:24.034Z,temperature,2.0
Friman Metsola collective,2019-02-16T08:25:31.078Z,temperature,1.9
Friman Metsola collective,2019-02-16T16:26:13.979Z,temperature,1.1
Friman Metsola collective,2019-02-16T08:28:05.028Z,temperature,2.6
Friman Metsola collective,2019-02-16T09:33:49.737Z,temperature,3.1
Friman Metsola collective,2019-02-17T09:33:49.737Z,pH,6.68
Friman Metsola collective,2019-02-17T09:33:49.737Z,rainFall,0
